id,2000-01-04,000001.SH,399005.SZ,399102.SZ
2622,2010-11-15,3014.413,7055.876,1142.627
2623,2010-11-16,2894.538,6759.749,1123.283
2624,2010-11-17,2838.857,6536.392,1082.313
2625,2010-11-18,2865.452,6673.412,1100.698
2626,2010-11-19,2888.566,6898.237,1149.795
2627,2010-11-22,2884.371,7007.132,1168.381
2628,2010-11-23,2828.282,6919.095,1177.025
2629,2010-11-24,2859.936,7085.451,1203.937
2630,2010-11-25,2898.261,7119.046,1182.496
2631,2010-11-26,2871.698,7098.78,1191.61
2632,2010-11-29,2866.356,7104.402,1209.07
2633,2010-11-30,2820.181,6936.974,1168.094
2634,2010-12-01,2823.449,6914.812,1161.418
2635,2010-12-02,2843.607,6941.148,1161.834
2636,2010-12-03,2842.431,6878.836,1142.016
2637,2010-12-06,2857.178,6783.926,1118.625
2638,2010-12-07,2875.861,6949.175,1142.25
2639,2010-12-08,2848.546,6940.371,1139.833
2640,2010-12-09,2810.949,6811.104,1125.154
2641,2010-12-10,2841.04,6918.151,1148.354
2642,2010-12-13,2922.954,7105.722,1189.319
2643,2010-12-14,2927.077,7158.17,1198.494
2644,2010-12-15,2911.414,7123.084,1192.096
2645,2010-12-16,2898.138,7116.216,1203.732
2646,2010-12-17,2893.74,7120.57,1213.452
2647,2010-12-20,2852.916,7049.004,1198.011
2648,2010-12-21,2904.115,7099.976,1199.716
2649,2010-12-22,2877.9,7025.672,1186.127
2650,2010-12-23,2855.22,6891.996,1160.326
2651,2010-12-24,2835.157,6764.159,1128.769
2652,2010-12-27,2781.402,6592.999,1091.637
2653,2010-12-28,2732.99,6464.953,1075.46
2654,2010-12-29,2751.527,6632.47,1098.436
2655,2010-12-30,2759.575,6681.355,1102.249
2656,2010-12-31,2808.077,6828.982,1123.876
2657,2011-01-04,2852.648,6896.758,1142.985
2658,2011-01-05,2838.593,6865.589,1143.515
2659,2011-01-06,2824.197,6804.593,1126.544
2660,2011-01-07,2838.801,6770.147,1116.285
2661,2011-01-10,2791.809,6584.035,1082.967
2662,2011-01-11,2804.047,6516.86,1068.628
2663,2011-01-12,2821.305,6541.56,1077.845
2664,2011-01-13,2827.713,6556.845,1080.136
2665,2011-01-14,2791.344,6434.863,1053.913
2666,2011-01-17,2706.66,6139.999,1013.638
2667,2011-01-18,2708.979,6164.286,1012.067
2668,2011-01-19,2758.097,6314.32,1033.57
2669,2011-01-20,2677.652,6080.93,1003.844
2670,2011-01-21,2715.294,6101.094,1007.299
2671,2011-01-24,2695.72,5910.35,976.974
2672,2011-01-25,2677.432,5845.759,962.488
2673,2011-01-26,2708.814,5967.19,978.438
2674,2011-01-27,2749.15,6076.094,994.726
2675,2011-01-28,2752.75,6121.61,1002.199
2676,2011-01-31,2790.694,6180.679,1011.257
2677,2011-02-01,2798.96,6196.807,1012.135
2678,2011-02-09,2774.065,6117.707,1001.3
2679,2011-02-10,2818.163,6295.204,1039.432
2680,2011-02-11,2827.328,6397.45,1049.847
2681,2011-02-14,2899.134,6508.335,1064.467
2682,2011-02-15,2899.237,6497.98,1063.404
2683,2011-02-16,2923.896,6592.233,1083.357
2684,2011-02-17,2926.964,6632.653,1087.631
2685,2011-02-18,2899.792,6565.293,1076.78
2686,2011-02-21,2932.246,6681.131,1095.752
2687,2011-02-22,2855.516,6515.81,1065.577
2688,2011-02-23,2862.634,6580.126,1087.461
2689,2011-02-24,2878.603,6642.046,1076.874
2690,2011-02-25,2878.565,6661.009,1071.569
2691,2011-02-28,2905.053,6732.994,1076.843
2692,2011-03-01,2918.92,6758.663,1075.16
2693,2011-03-02,2913.808,6719.864,1066.649
2694,2011-03-03,2902.978,6585.856,1044.119
2695,2011-03-04,2942.306,6633.425,1052.37
2696,2011-03-07,2996.211,6717.399,1058.919
2697,2011-03-08,2999.942,6735.213,1065.769
2698,2011-03-09,3002.154,6760.111,1067.663
2699,2011-03-10,2957.143,6734.333,1074.526
2700,2011-03-11,2933.796,6712.639,1081.651
2701,2011-03-14,2937.627,6770.313,1089.219
2702,2011-03-15,2896.256,6724.036,1075.686
2703,2011-03-16,2930.804,6812.78,1082.643
2704,2011-03-17,2897.298,6697.396,1061.225
2705,2011-03-18,2906.886,6734.257,1066.078
2706,2011-03-21,2909.137,6673.241,1057.076
2707,2011-03-22,2919.142,6631.214,1052.433
2708,2011-03-23,2948.477,6714.998,1061.662
2709,2011-03-24,2946.706,6707.258,1062.196
2710,2011-03-25,2977.814,6743.758,1057.822
2711,2011-03-28,2984.005,6653.061,1040.597
2712,2011-03-29,2958.077,6499.911,1008.253
2713,2011-03-30,2955.771,6444.912,993.141
2714,2011-03-31,2928.111,6397.669,995.051
2715,2011-04-01,2967.41,6456.601,1002.421
2716,2011-04-06,3001.36,6405.636,984.644
2717,2011-04-07,3007.909,6442.492,993.65
2718,2011-04-08,3030.021,6514.463,1006.783
2719,2011-04-11,3022.746,6441.647,991
2720,2011-04-12,3021.369,6392.541,987.08
2721,2011-04-13,3050.398,6483.692,1005.249
